jobtitle,count
"Web Developer IV",66
"Web Developer III",69
"Web Developer II",74
"Web Developer I",95
"Web Designer IV",6
"Web Designer III",13
"Web Designer II",4
"Web Designer I",34
"VP Sales",5
"VP Quality Control",43
"VP Product Management",39
"VP of Training and Development",1
"VP Marketing",42
"VP Accounting",76
"Training Manager",177
"Trainer III",173
"Trainer II",175
"Trainer I",171
"Tax Accountant",294
"Systems Administrator IV",84
"Systems Administrator III",81
"Systems Administrator II",66
"Systems Administrator I",359
"Support Staff III",19
"Support Staff II",58
"Support Staff",94
"Structural Engineer",293
"Structural Analysis Engineer",45
"Statistician IV",2
"Statistician III",4
"Statistician II",11
"Statistician I",12
"Staff Scientist",31
"Staff Accountant IV",101
"Staff Accountant III",90
"Staff Accountant II",77
"Staff Accountant I",427
"Solutions Engineer Manager",206
"Solutions Engineer",204
"Software Test Engineer IV",84
"Software Test Engineer III",82
"Software Test Engineer II",69
"Software Test Engineer I",80
"Software Engineer IV",88
"Software Engineer III",97
"Software Engineer II",80
"Software Engineer I",378
"Software Consultant",327
"Service Tech III",319
"Service Tech II",315
